inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;inf-norm-Clever-0.0-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.011753618717193604;0.011753618717193604;0.9879565834999084;0.0;1.1163747310638428;1.230324149131775;1.1163747310638428;0.0
0.0118330717086792;0.0118330717086792;0.9867317080497742;0.0;1.11722731590271;1.4208983182907104;1.11722731590271;0.0
0.011982053518295288;0.011982053518295288;0.9447730183601379;0.0;1.1196284294128418;1.3106478452682495;1.1196284294128418;0.0
0.012291058897972107;0.012291058897972107;0.9956347942352295;0.0;1.1230111122131348;1.2502446174621582;1.1230111122131348;0.0
0.01231151819229126;0.01231151819229126;0.8458819389343262;0.0;1.1260294914245605;2.252267837524414;1.1260294914245605;0.0
0.012386798858642578;0.012386798858642578;0.9013530611991882;0.0;1.1265579462051392;1.6061315536499023;1.1265579462051392;0.0
0.012447986751794815;0.012447986751794815;0.9476431608200073;0.0;1.1276922225952148;2.0360124111175537;1.1276922225952148;0.0
0.012452781200408936;0.012452781200408936;0.9887282848358154;0.0;1.1286762952804565;1.3358794450759888;1.1286762952804565;0.0
0.012500941753387451;0.012500941753387451;0.9907903671264648;0.0;1.1296769380569458;1.1296769380569458;1.6813496351242065;0.0
0.012542277574539185;0.012542277574539185;0.9113828539848328;0.0;1.134436845779419;1.602371096611023;1.134436845779419;0.0
0.012587159872055054;0.012587159872055054;0.978054404258728;0.0;1.1397883892059326;2.494572162628174;1.1397883892059326;0.0
0.012676417827606201;0.012676417827606201;0.8879008293151855;0.0;1.1427503824234009;1.9711430072784424;1.1427503824234009;0.0
0.012709289789199829;0.012709289789199829;0.9595343470573425;0.0;1.1428840160369873;2.4592444896698;1.1428840160369873;0.0
0.012812070548534393;0.012812070548534393;0.7650474309921265;0.0;1.1439560651779175;1.188387393951416;1.1439560651779175;0.0
0.012898862361907959;0.012898862361907959;0.9851735830307007;0.0;1.1448323726654053;1.1448323726654053;1.2003655433654785;0.0
0.012920379638671875;0.012920379638671875;0.9872088432312012;0.0;1.1470587253570557;1.6900124549865723;1.1470587253570557;0.0
0.013056159019470215;0.013056159019470215;0.9895644783973694;0.0;1.1630373001098633;3.046525478363037;1.1630373001098633;0.0
0.0131244957447052;0.0131244957447052;0.992087721824646;0.0;1.1747195720672607;2.2421875;1.1747195720672607;0.0
0.013194084167480469;0.013194084167480469;0.9772409200668335;0.0;1.1770350933074951;1.7932407855987549;1.1770350933074951;0.0
0.013245463371276855;0.013245463371276855;0.9465457797050476;0.0;1.1786102056503296;3.3851284980773926;1.1786102056503296;0.0
0.013455629348754883;0.013455629348754883;0.9729491472244263;0.0;1.1815142631530762;1.6550129652023315;1.1815142631530762;0.0
0.013493537902832031;0.013493537902832031;0.9952777624130249;0.0;1.1855114698410034;1.3809975385665894;1.1855114698410034;0.0
0.013526976108551025;0.013526976108551025;0.9322267770767212;0.0;1.1914554834365845;2.11438250541687;1.1914554834365845;0.0
0.013536117970943451;0.013536117970943451;0.9539777636528015;0.0;1.192559003829956;1.32907235622406;1.192559003829956;0.0
0.013593390583992004;0.013593390583992004;0.9750717878341675;0.0;1.1931685209274292;2.468196392059326;1.1931685209274292;0.0
0.013617753982543945;0.013617753982543945;0.9964094161987305;0.0;1.2060697078704834;1.2060697078704834;1.4632303714752197;0.0
0.013815969228744507;0.013815969228744507;0.9921783804893494;0.0;1.2299224138259888;2.790029287338257;1.2299224138259888;0.0
0.013880789279937744;0.013880789279937744;0.9779249429702759;0.0;1.231595516204834;1.231595516204834;1.3557020425796509;0.0
0.013925299048423767;0.013925299048423767;0.9319822788238525;0.0;1.2340346574783325;3.3737664222717285;1.2340346574783325;0.0
0.013971447944641113;0.013971447944641113;0.9845064282417297;0.0;1.2355207204818726;2.694981098175049;1.2355207204818726;0.0
0.013996154069900513;0.013996154069900513;0.9018879532814026;0.0;1.240255355834961;2.4199087619781494;1.240255355834961;0.0
0.01401519775390625;0.01401519775390625;0.9950787425041199;0.0;1.253154993057251;1.253154993057251;1.5457379817962646;0.0
0.014062106609344482;0.014062106609344482;0.9881928563117981;0.0;1.2551850080490112;2.0560758113861084;1.2551850080490112;0.0
0.014087438583374023;0.014087438583374023;0.9274157285690308;0.0;1.2663288116455078;2.07975697517395;1.2663288116455078;0.0
0.014106065034866333;0.014106065034866333;0.9987033605575562;0.0;1.26921546459198;2.1378238201141357;1.26921546459198;0.0
0.014193058013916016;0.014193058013916016;0.9983312487602234;0.0;1.269822359085083;2.385749340057373;1.269822359085083;0.0
0.014208197593688965;0.014208197593688965;0.98343825340271;0.0;1.2707396745681763;2.523146152496338;1.2707396745681763;0.0
0.014432162046432495;0.014432162046432495;0.9945028424263;0.0;1.2774537801742554;4.016716480255127;1.2774537801742554;0.0
0.01450820080935955;0.01450820080935955;0.9983621835708618;0.0;1.280772089958191;2.4084584712982178;1.280772089958191;0.0
0.014512479305267334;0.014512479305267334;0.8547950983047485;0.0;1.2873104810714722;2.539914131164551;1.2873104810714722;0.0
0.014529839158058167;0.014529839158058167;0.9930860996246338;0.0;1.2881293296813965;1.4108824729919434;1.2881293296813965;0.0
0.014600872993469238;0.014600872993469238;0.9876883625984192;0.0;1.2882808446884155;2.9150211811065674;1.2882808446884155;0.0
0.014673829078674316;0.014673829078674316;0.9736899137496948;0.0;1.2934051752090454;2.8261618614196777;1.2934051752090454;0.0
0.014675334095954895;0.014675334095954895;0.9621103405952454;0.0;1.295485496520996;2.265408515930176;1.295485496520996;0.0
0.014737606048583984;0.014737606048583984;0.995136022567749;0.0;1.3050522804260254;2.965820074081421;1.3050522804260254;0.0
0.014839261770248413;0.014839261770248413;0.9825977683067322;0.0;1.3062937259674072;1.4583675861358643;1.3062937259674072;0.0
0.014906466007232666;0.014906466007232666;0.7205995321273804;0.0;1.3093503713607788;2.527386426925659;1.3093503713607788;0.0
0.015167087316513062;0.015167087316513062;0.9956054091453552;0.0;1.3096606731414795;1.9463776350021362;1.3096606731414795;0.0
0.015226945281028748;0.015226945281028748;0.9528380036354065;0.0;1.3232418298721313;2.062485933303833;1.3232418298721313;0.0
0.015352815389633179;0.015352815389633179;0.9252163171768188;0.0;1.3394973278045654;1.5349057912826538;1.3394973278045654;0.0
0.015555918216705322;0.015555918216705322;0.9424678087234497;0.0;1.3511923551559448;1.4151314496994019;1.3511923551559448;0.0
0.01568615436553955;0.01568615436553955;0.8445664644241333;0.0;1.3531414270401;3.0471603870391846;1.3531414270401;0.0
0.015782713890075684;0.015782713890075684;0.9903773069381714;0.0;1.3555899858474731;2.4772653579711914;1.3555899858474731;0.0
0.01581934094429016;0.01581934094429016;0.9706888794898987;0.0;1.356515884399414;2.24845552444458;1.356515884399414;0.0
0.016001760959625244;0.016001760959625244;0.758976936340332;0.0;1.3605693578720093;2.373180389404297;1.3605693578720093;0.0
0.016181647777557373;0.016181647777557373;0.8176590800285339;0.0;1.36848783493042;4.726059436798096;1.36848783493042;0.0
0.016698598861694336;0.016698598861694336;0.961998701095581;0.0;1.3891236782073975;2.1666667461395264;1.3891236782073975;0.0
0.016736239194869995;0.016736239194869995;0.9903144240379333;0.0;1.3928983211517334;2.2829105854034424;1.3928983211517334;0.0
0.016756489872932434;0.016756489872932434;0.7691439390182495;0.0;1.3946928977966309;1.6172904968261719;1.3946928977966309;0.0
0.01692110300064087;0.01692110300064087;0.9951532483100891;0.0;1.4133788347244263;2.3350789546966553;1.4133788347244263;0.0
0.016948163509368896;0.016948163509368896;0.9746680855751038;0.0;1.4211817979812622;2.410050868988037;1.4211817979812622;0.0
0.01706075668334961;0.01706075668334961;0.898163378238678;0.0;1.423203945159912;2.3598105907440186;1.423203945159912;0.0
0.017076313495635986;0.017076313495635986;0.9926245808601379;0.0;1.4261010885238647;2.620784282684326;1.4261010885238647;0.0
0.01738375425338745;0.01738375425338745;0.9927258491516113;0.0;1.430037498474121;2.894559621810913;1.430037498474121;0.0
0.01743399351835251;0.01743399351835251;0.9999279975891113;0.0;1.4355725049972534;3.199521541595459;1.4355725049972534;0.0
0.01756685972213745;0.01756685972213745;0.8806073069572449;0.0;1.4514482021331787;2.244063377380371;1.4514482021331787;0.0
0.01771003007888794;0.01771003007888794;0.6738193035125732;0.0;1.4536060094833374;3.258028030395508;1.4536060094833374;0.0
0.01780855655670166;0.01780855655670166;0.9924496412277222;0.0;1.473561406135559;3.6034717559814453;1.473561406135559;0.0
0.01793581247329712;0.01793581247329712;0.8236685395240784;0.0;1.4769099950790405;1.8119785785675049;1.4769099950790405;0.0
0.01820087432861328;0.01820087432861328;0.99273681640625;0.0;1.4875320196151733;1.6066997051239014;1.4875320196151733;0.0
0.018227219581604004;0.018227219581604004;0.9904426336288452;0.0;1.507899522781372;2.5862646102905273;1.507899522781372;0.0
